station_number,latitude,longitude,county,locality,address,institution
211,47.64245520000005,26.68886709999998,JUDEŢUL BOTOŞANI,SCHIT-ORĂŞENI,"UAT: CRISTEŞTI, Localitate: SCHIT-ORĂŞENI Etaj: Parter  Rampa: Da",Școala Primară nr.3 Schit-Orășeni
234,44.92510444480132,23.511043549959766,JUDEŢUL GORJ,VIDIN,"UAT: JUPÂNEŞTI, Localitate: VIDIN Etaj: Parter  Rampa: Nu",ŞCOALA PRIMARĂ VIDIN
234,44.340599999999995,27.091199999999976,JUDEŢUL CĂLĂRAŞI,VLAD ŢEPEŞ,"UAT: VLAD ŢEPEŞ, Localitate: VLAD ŢEPEŞ, Artera: Strada Vasile Alecsandri, Nr: 40 Etaj: Parter  Rampa: Da",Școala Gimnazială nr.1 Vlad Țepeș
285,47.23238071422962,26.685046099577516,JUDEŢUL IAŞI,BOŞTENI,"UAT: MUNICIPIUL PAŞCANI, Localitate: BOŞTENI, Nr: 45 Etaj: Parter  Rampa: Da",SCOALA BOSTENI
181,47.05885555194608,22.398222697858856,JUDEŢUL BIHOR,ALEŞD,"UAT: ORAŞ ALEŞD, Localitate: ALEŞD, Artera: Strada Bobâlna (Strada Bobîlna), Nr: 3 Etaj: Parter  Rampa: Da",PRIMĂRIA ALEȘD- SALA MARE
411,47.882505600000044,26.271794999999994,JUDEŢUL BOTOŞANI,LUNCA,"UAT: VÂRFU CÂMPULUI, Localitate: LUNCA, Artera: Strada Principală, Nr: 78 Etaj: Parter  Rampa: Da",Şcoala Primară Nr. 2 Lunca
130,45.13330070084877,24.675533410416737,JUDEŢUL ARGEŞ,CURTEA DE ARGEŞ,"UAT: MUNICIPIUL CURTEA DE ARGEŞ, Localitate: CURTEA DE ARGEŞ Etaj: Parter  Rampa: Da",ȘCOALA GENERALĂ NR 5 ”ARMAND CĂLINESCU” (II)
313,45.01064658400982,23.072517319268908,JUDEŢUL GORJ,TELEŞTI,"UAT: TELEŞTI, Localitate: TELEŞTI, Artera: Strada Victoriei, Nr: 340 Etaj: Parter  Rampa: Da",ŞCOALA PRIMARĂ TELEŞTI
893,44.405948565798994,26.07641872788194,MUNICIPIUL BUCUREŞTI,BUCUREŞTI SECTORUL 5,"UAT: MUNICIPIUL BUCUREŞTI, Localitate: BUCUREŞTI SECTORUL 5, Artera: Calea Ferentari, Nr: 72 Etaj: Parter  Rampa: Da",ȘCOALA GIMNAZIALĂ NR.135
415,46.04127980123132,21.104905411963678,JUDEŢUL ARAD,MAILAT,"UAT: VINGA, Localitate: MAILAT, Artera: Strada Principală, Nr: 2 Etaj: Parter  Rampa: Da",Şcoala Generală Mailat
515,46.37625427718444,27.820546847912215,JUDEŢUL VASLUI,HALTA DODEŞTI,"UAT: VIIŞOARA, Localitate: HALTA DODEŞTI Etaj: Parter  Rampa: Nu e cazul",ȘCOALA PRIMARĂ HALTA DODEȘTI
39,44.27484606840846,23.815452984089582,JUDEŢUL DOLJ,CRAIOVA,"UAT: MUNICIPIUL CRAIOVA, Localitate: CRAIOVA, Artera: Prelungirea Bechetului, Nr: 3A Etaj: Parter  Rampa: Da","LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO, (FOSTA ȘCOALĂ CU CLASELE I-VIII NR.25 FĂCĂI)"
251,44.750989086705005,21.789855084807645,JUDEŢUL CARAŞ-SEVERIN,GÂRNIC,"UAT: GÂRNIC, Localitate: GÂRNIC, Nr: 6 A Etaj: Parter  Rampa: Nu",Casa Culturală Petr. Glaser
144,45.138720861014946,27.479555997796922,JUDEŢUL BRĂILA,IANCA,"UAT: ORAŞ IANCA, Localitate: IANCA, Artera: Strada Sărăţeni, Nr: 28 Etaj: Parter  Rampa: Da",Școala Gimnazială Ianca
160,46.35748520054244,25.850963409849467,JUDEŢUL HARGHITA,FITOD,"UAT: LELICENI, Localitate: FITOD, Nr: 81 Etaj: Parter  Rampa: Da",Caminul Cultural
119,47.15512800000002,27.570409000000026,JUDEŢUL IAŞI,IAŞI,"UAT: MUNICIPIUL IAŞI, Localitate: IAŞI, Artera: Strada Cerna, Nr: 12-14 Etaj: Parter  Rampa: Da",PT MIRCEA CEL BĂTRÂN
68,47.14981953288043,24.212947713760713,JUDEŢUL BISTRIŢA-NĂSĂUD,FIGA,"UAT: ORAŞ BECLEAN, Localitate: FIGA, Nr: 131 Etaj: Parter  Rampa: Nu e cazul",ȘCOALA PRIMARĂ FIGA
